,STATION_NAME,NAT_ABBR,LATITUDE,LONGITUDE,XCOORD,YCOORD,ELEVATION
0,Aadorf / Tänikon,TAE,47.48,8.9049,710515,259821, 539.00
1,Aarberg,ABE,47.037,7.2814,588051,209518, 493.00
2,Adelboden,ABO,46.492,7.5604,609350,149001,1326.74
3,Affeltrangen,AFT,47.531000000000006,9.0199,719070,265660, 479.00
4,Affoltern i. E.,AIE,47.063,7.7406,622940,212500, 755.00
5,Aigle,AIG,46.327,6.9244,560401,130713, 381.02
6,Airolo,AIR,46.526,8.5974,688910,153400,1139.00
7,Allenwinden, ALW,47.387,8.9458,713800,249550, 865.00
8,Alpthal,APT,47.06,8.7136,696860,212930,1015.00
9,Altdorf,ALT,46.887,8.6218,690174,193558, 438.00
10,Altmatt,ALM,47.131,8.6963,695420,220770, 920.00
11,Altstätten, ALS,47.383,9.5565,759910,250202, 430.00
12,Alvaneu Dorf,ALV,46.677,9.6499,769168,171945,1170.00
13,Amriswil,AMW,47.55,9.3225,741796,268304, 420.00
14,Andeer,AND,46.61,9.4319,752687,164036, 987.10
15,Andelfingen,AFI,47.602,8.6861,693810,273070, 382.00
16,Andermatt,ANT,46.631,8.5805,687444,165044,1438.00
17,Appenzell,APP,47.34,9.3973,748012,245040, 750.00
18,Arbon,ARB,47.501999999999995,9.4364,750506,263115, 401.00
19,Arisdorf,ARI,47.507,7.7746,625310,261860, 480.00
20,Arosa,ARO,46.793,9.679,771030,184826,1878.00
21,Avenches,AVE,46.881,7.0368,569367,192283, 446.00
22,Avers / Am Bach,AVB,46.453,9.5472,761985,146785,2000.00
23,Bad Ragaz,RAG,47.016999999999996,9.5026,756910,209351, 496.00
24,Balsthal,BAT,47.32,7.7166,621017,241091, 523.00
25,Barmelweid,BAW,47.422,7.9711,640180,252446, 770.00
26,Basel / Binningen,BAS,47.541000000000004,7.5836,610911,265601, 316.17
27,Baulmes,BAU,46.79,6.5225,530050,182450, 642.00
28,Bauma,BAM,47.365,8.9056,710805,247005, 667.00
29,Bauma,ZHBAM,47.373999999999995,8.8654,707750,248010, 621.00
30,Bellelay,BEY,47.265,7.1691,579603,234880, 923.00
31,Bellinzona,BLZ,46.19,9.0049,720913,116588, 224.00
32,Belp,BEP,46.906000000000006,7.5053,605082,195001, 510.00
33,Benken / Doggen,DOB,47.18899999999999,8.9612,715387,227540, 408.00
34,Bergün / Latsch,LAT,46.626999999999995,9.7537,777273,166619,1407.85
35,Bern / Zollikofen,BER,46.99100000000001,7.464,601930,204410, 552.84
36,Beromünster,BMU,47.207,8.1936,657200,228760, 642.00
37,Bex,BEX,46.244,6.9953,565806,121511, 402.00
38,Beznau,BZN,47.558,8.2355,659975,267750, 327.00
39,Biasca,BIA,46.336000000000006,8.9784,718550,132800, 278.00
40,Biel/Bienne,BIL,47.12,7.2576,586260,218840, 433.00
41,Binn,BIN,46.368,8.1923,657996,135422,1479.00
42,Birmensdorf,ZHBID,47.355,8.4401,675660,245430, 466.00
43,Bischofszell,BIZ,47.497,9.2347,735325,262285, 470.00
44,Bisisthal,BIS,46.946999999999996,8.828,705770,200450, 785.00
45,Bivio,BIV,46.463,9.6686,771282,148120,1856.00
46,Bière,BIE,46.525,6.3424,515889,153207, 683.64
47,Blumenstein,BLU,46.744,7.5206,606260,177010, 655.00
48,Boltigen,BOT,46.63,7.3874,596077,164296, 892.00
49,Bosco/Gurin,BOS,46.317,8.4887,680879,130027,1486.00
50,Boudevilliers,BOV,47.023,6.8874,558095,208130, 750.00
51,Bourg-St-Pierre,BSP,45.946000000000005,7.2085,582155,88270,1664.00
52,Braggio,BRA,46.29600000000001,9.1256,729975,128600,1315.00
53,Braunau,BNU,47.522,9.0734,723115,264787, 592.00
54,Braunwald,BRW,46.937,8.9876,717942,199651,1299.00
55,Brienz,BRZ,46.74100000000001,8.0609,647552,176803, 567.15
56,Brig,BRI,46.312,7.9653,640567,129069, 665.00
57,Brissago,BSG,46.12,8.709,698200,108390, 280.00
58,Bristen,BRT,46.768,8.6984,696223,180373, 784.00
59,Broc,BRO,46.61,7.108,574670,162100, 680.00
60,Brusio,BRP,46.263999999999996,10.1172,806477,127184, 856.00
61,Bruzella,BZL,45.883,9.037,724090,82490, 620.00
62,Brülisau,BLS,47.297,9.4583,752743,240475, 933.00
63,Buch, BUC,47.717,8.7839,700944,286039, 414.00
64,Buchs / Aarau,BUS,47.38399999999999,8.0794,648389,248365, 386.66
65,Buffalora,BUF,46.648,10.2672,816494,170225,1968.00
66,Bullet / La Frétaz,FRE,46.841,6.5763,534221,188081,1205.43
67,Burgdorf,BUD,47.056999999999995,7.5987,612163,211782, 534.00
68,Bözberg,UBB,47.482,8.1318,652249,259223, 536.00
69,Bülach,BUE,47.52,8.5275,682010,263780, 402.00
70,Camedo,CMD,46.155,8.6075,690296,112207, 590.00
71,Campocologno,CAC,46.232,10.1438,808650,123700, 535.00
72,Cavaglia,CAV,46.368,10.0362,799850,138470,1706.00
73,Cevio,CEV,46.32,8.6032,689688,130565, 417.00
74,Chanéaz,CNZ,46.729,6.7427,546800,175580, 758.00
75,Chasseral,CHA,47.132,7.0544,570847,220158,1599.00
76,Chaumont,CHM,47.049,6.9788,565060,211006,1136.00
77,Chavornay,CHY,46.702,6.548,531887,172741, 439.00
78,Chevrier,GECHE,46.22,6.2228,506185,119470, 429.70
79,Chur,CHU,46.87,9.5305,759466,193153, 556.00
80,Château-d'Oex,CHD,46.48,7.1397,577040,147655,1029.00
81,Chéserex,CHX,46.398,6.1722,502600,139350, 532.00
82,Cimetta,CIM,46.2,8.7916,704433,117452,1661.00
83,Col des Mosses,CDM,46.391999999999996,7.0982,573818,137852,1412.00
84,Col du Grand St-Bernard,GSB,45.869,7.1708,579200,79720,2472.00
85,Coldrerio,COL,45.854,8.9974,721080,79235, 347.00
86,Combe-Garot,COG,46.961999999999996,6.7977,551220,201450, 532.00
87,Cossonay,COS,46.61,6.4931,527563,162465, 590.00
88,Courtelary,COY,47.181000000000004,7.0907,573623,225597, 695.00
89,Courtepin,COP,46.86,7.1276,576280,189930, 565.00
90,Couvet,COU,46.934,6.6587,540607,198345, 728.00
91,Davos,DAV,46.813,9.8435,783514,187458,1594.16
92,Degersheim,DEH,47.36600000000001,9.1942,732600,247600, 830.00
93,Delémont,DEM,47.352,7.3496,593269,244543, 439.00
94,Diessenhofen,DIE,47.692,8.7271,696730,283130, 405.00
95,Dietikon,DIT,47.413999999999994,8.4045,672890,251865, 384.00
96,Dischma,DMA,46.772,9.8821,786600,182990,1710.00
97,Disentis,DIS,46.707,8.8535,708189,173789,1197.05
98,Ebnat-Kappel,EBK,47.273,9.1085,726347,237176, 623.00
99,Echallens,ECH,46.646,6.6217,537455,166430, 603.00
100,Effretikon,EFF,47.43899999999999,8.7025,695336,254992, 478.00
101,Eggersriet,EGR,47.44,9.4561,752170,256280, 814.00
102,Egolzwil,EGO,47.178999999999995,8.0048,642913,225540, 521.00
103,Ehrendingen,OED,47.508,8.3392,667846,262266, 428.00
104,Eigenthal,EIT,46.983000000000004,8.2186,659340,203880,1114.00
105,Einsiedeln,EIN,47.133,8.7566,699984,221068, 910.00
106,Elm,ELM,46.924,9.1753,732265,198425, 958.00
107,Engelberg,ENG,46.821999999999996,8.4105,674157,186097,1035.66
108,Entlebuch,ENT,46.986999999999995,8.0687,647935,204165, 768.00
109,Eptingen,EPT,47.386,7.819,628720,248410, 565.00
110,Eriswil,ERI,47.082,7.8484,631120,214600, 740.00
111,Erlenbach im Simmental,ERB,46.657,7.5477,608350,167300, 683.00
112,Ermatingen,WOB,47.672,9.0882,723880,281420, 400.00
113,Eschenz,ESZ,47.646,8.8742,707865,278227, 414.00
114,Eschlikon,EKO,47.452,8.9729,715699,256836, 578.00
115,Escholzmatt,EHM,46.906000000000006,7.939,638120,195100, 910.00
116,Euthal,EUT,47.099,8.8182,704729,217363, 910.00
117,Fahy,FAH,47.424,6.9411,562458,252676, 596.00
118,Faido,FAI,46.477,8.8053,704950,148266, 747.00
119,Filisur,FIL,46.67100000000001,9.6899,772250,171320,1030.00
120,Finhaut,CTA,46.083,6.9753,564160,103590,1242.00
121,Flawil,FLW,47.413999999999994,9.2017,733050,252940, 570.00
122,Flims,FLI,46.833999999999996,9.2833,740720,188600,1050.00
123,"Flühli, LU",FLU,46.888999999999996,8.0203,644332,193311, 939.75
124,Frauenfeld,FRF,47.573,8.8937,709480,270170, 393.00
125,Fribourg / Posieux,GRA,46.771,7.1137,575182,180076, 646.00
126,Frick,FRI,47.513999999999996,8.0142,643355,262700, 345.00
127,Fruence,FRC,46.525,6.9025,558860,152799, 809.00
128,Frutigen,FRU,46.599,7.6575,616774,160884, 756.00
129,Gadmen,GAD,46.736999999999995,8.3513,669750,176610,1190.00
130,"Gempen, SO",GEP,47.494,7.6544,616260,260400, 585.00
131,Genève / Aire,GEA,46.196000000000005,6.0905,495935,116925, 376.00
132,Genève / Cointrin,GVE,46.248000000000005,6.1277,498905,122632, 410.88
133,Giswil,GIH,46.849,8.1902,657320,188980, 471.00
134,Glarus,GLA,47.035,9.0669,723752,210568, 516.62
135,Gnosca,TIGNO,46.238,9.0196,721940,121960, 247.00
136,Grimentz,GRI,46.18,7.5781,610768,114289,1512.00
137,Grimsel Hospiz,GRH,46.571999999999996,8.3333,668583,158215,1980.00
138,Grindelwald,GWA,46.63,8.0366,645793,164458,1158.00
139,Grono,GRO,46.255,9.1638,733017,124090, 323.52
140,"Gross, SZ",GSS,47.113,8.78,701799,218841, 897.00
141,Grosshöchstetten,GHS,46.905,7.6488,616015,194885, 755.00
142,Gryon,GRY,46.277,7.0692,571520,125125,1146.00
143,Grächen,GRC,46.195,7.8368,630739,116062,1605.00
144,Grüningen,GIN,47.273999999999994,8.7437,698752,236666, 535.00
145,Gstaad,GST,46.467,7.2858,588260,146165,1045.00
